Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
220613_BL6_Ku_29446_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29446_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220613_BL6_Ku_29447_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220616_BL6_Ku_29446_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220616_BL6_Ku_29447_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_141_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_152_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220704_F1_Ku_152_e2_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220704_F1_Ku_152_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e3_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e4_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_11_e6_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e1_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220812_F1_Ku_71_e3_het,HET,F1,N,N,N,N,Y,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e2_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_68_e3_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_68_e4_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e2_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_72_e3_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e4_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_72_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e6_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220814_F1_Ku_72_e7_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220814_F1_Ku_72_e8_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220815_F1_Ku_11_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220815_F1_Ku_11_e7_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220815_F1_Ku_71_e4_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220815_F1_Ku_71_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220819_F1_Ku_3_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220819_F1_Ku_3_e3_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220819_F1_Ku_3_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220819_F1_Ku_3_e6_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220822_F1_Ku_3_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220822_F1_Ku_3_e5_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220825_F1_Ku_2_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220825_F1_Ku_2_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220828_F1_Ku_4_e1_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220828_F1_Ku_4_e3_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220831_F1_Ku_4_e2_het,HET,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
220831_F1_Ku_4_e5_het,HET,F1,N,N,N,N,N,Y,N,N,N,N,N,N,2
220903_F1_Ku_4_e4_wt,WT,F1,N,N,N,N,N,N,N,N,N,N,N,N,2
230927_C3H_Ku_146_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,Y,N,2
230927_C3H_Ku_146_e4_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e5_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e6_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e7_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e8_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230927_C3H_Ku_146_e9_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230928_C3H_Ku_143_e1_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230928_C3H_Ku_143_e3_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230928_C3H_Ku_143_e5_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
230928_C3H_Ku_143_e6_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
230928_C3H_Ku_143_e7_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_136_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_136_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_136_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_152_e1_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_152_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_152_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_152_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_152_e5_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231010_C3H_Ku_152_e6_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_155_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_155_e2_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231010_C3H_Ku_155_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231010_C3H_Ku_155_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e11_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e12_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e13_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e14_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e5_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231018_BL6_Ku_87_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_87_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e11_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231018_BL6_Ku_9_e1_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231018_BL6_Ku_9_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e5_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231018_BL6_Ku_9_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_9_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_C3H_Ku_145_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_C3H_Ku_145_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_C3H_Ku_145_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_C3H_Ku_32_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231018_C3H_Ku_32_e4_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231021_C3H_Ku_144_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231021_C3H_Ku_144_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231021_C3H_Ku_144_e3_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231021_C3H_Ku_144_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_144_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_144_e6_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_20_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e6_het,HET,C57BL6,Y,N,Right,Y,Y,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e8_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e10_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e11_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e3_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231025_BL6_Ku_86_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_86_e9_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231025_BL6_Ku_88_e1_het,HET,C57BL6,N,N,N,N,N,N,N,Y,N,N,N,N,2
231025_BL6_Ku_88_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e3_het,HET,C57BL6,N,Y,Left,N,N,Y,N,N,N,Y,N,N,2
231025_BL6_Ku_88_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e6_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231025_BL6_Ku_88_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e5_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e6_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e8_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e10_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_104_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e1_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231110_BL6_Ku_204_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e4_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,Y,N,N,2
231110_BL6_Ku_204_e5_wt,WT,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231110_BL6_Ku_204_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231110_BL6_Ku_204_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e1_het,HET,C57BL6,N,Y,Right,Y,N,Y,N,N,N,N,N,N,2
231116_BL6_Ku_94_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231116_BL6_Ku_94_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_52_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_52_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_52_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_52_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_52_e5_het,HET,C57BL6,N,N,N,N,N,Y,N,N,N,N,N,N,2
231124_BL6_Ku_52_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231124_BL6_Ku_53_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e4_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_54_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e10_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e5_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231128_BL6_Ku_74_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
