Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
231128_BL6_Ku_74_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e10_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_108_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e2_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231129_BL6_Ku_83_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e6_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e7_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e8_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231201_C3H_Ku_33_e9_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231205_BL6_Ku_15_e7_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e3_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e8_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231207_C3H_Ku_58_e9_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e1_wt,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,Y,N,N,2
231208_BL6_Ku_100_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e4_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_100_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_92_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_92_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_92_e3_het,HET,C57BL6,N,N,N,N,N,N,Y,N,Y,N,N,Y,2
231208_BL6_Ku_92_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_92_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_BL6_Ku_92_e6_het,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e1_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e2_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231208_C3H_Ku_50_e8_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e10_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e2_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e6,NA,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231215_C3H_Ku_1_e7_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e8_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_1_e9_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
BL6_22299_e2,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
BL6_22299_e5,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
BL6_22299_e6,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_BL6_Ku_93_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
211219_Ku_C3H_58_e1_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_58_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_58_e3_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_58_e5_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_58_e6_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_99_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211219_Ku_C3H_99_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211219_Ku_C3H_99_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211219_Ku_C3H_99_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
211219_Ku_C3H_99_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
231012_C3H_Ku_134_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
231012_C3H_Ku_134_e2_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231012_C3H_Ku_134_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231012_C3H_Ku_134_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231012_C3H_Ku_134_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231012_C3H_Ku_134_e6_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231012_C3H_Ku_134_e7_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231012_C3H_Ku_134_e8_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_78_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_78_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_BL6_Ku_78_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
231018_C3H_Ku_32_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,<1
231020_C3H_Ku_160_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231020_C3H_Ku_160_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231020_C3H_Ku_160_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231020_C3H_Ku_160_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e3_het,HET,C3H,N,N,N,N,Y,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e4_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e6_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e8_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231021_C3H_Ku_33_e9_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,<1
231024_C3H_Ku_1_e1_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e4_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e5_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e6_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231024_C3H_Ku_1_e8_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231029_C3H_Ku_22_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231029_C3H_Ku_22_e2_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231124_BL6_Ku_53_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,<1
231214_C3H_Ku_19_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_19_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e10_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
231214_C3H_Ku_87_e11_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,<1
231214_C3H_Ku_87_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,1
231214_C3H_Ku_87_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e4_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231214_C3H_Ku_87_e5_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
231214_C3H_Ku_87_e6_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e8_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231214_C3H_Ku_87_e9_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
231215_C3H_Ku_41_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,1
240327_BL6_153_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_153_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_153_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_153_e4_het,HET,C57BL6,N,N,N,N,N,N,Y,N,Y,N,N,N,2
240327_BL6_153_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_153_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_153_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_174_e2_het,HET,C57BL6,Y,Y,both,N,N,N,Y,N,Y,N,N,N,2
240327_BL6_174_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_174_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_174_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_174_e9_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
240308_BL6_164_e1_wt,WT,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
240308_BL6_164_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240308_BL6_164_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_164_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_164_e5_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,Y,N,N,1
240308_BL6_164_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_164_e7_het,HET,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,2
240407_BL6_188_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e5_het,HET,C57BL6,Y,N,left,N,N,N,N,N,N,Y,N,N,2
240407_BL6_188_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e7_het,HET,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,2
240407_BL6_188_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240407_BL6_188_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240228_BL6_Ku_147_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240228_BL6_Ku_147_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240228_BL6_Ku_147_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240228_BL6_Ku_147_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240228_BL6_Ku_147_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240228_BL6_Ku_147_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240301_BL6_Ku_162_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_162_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_162_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_162_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_162_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_162_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240301_BL6_Ku_162_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240301_BL6_Ku_163_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240306_BL6_Ku_173_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240306_BL6_Ku_173_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240306_BL6_Ku_173_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240306_BL6_Ku_173_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240306_BL6_Ku_173_e5_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,1
240306_BL6_Ku_173_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240306_BL6_Ku_173_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_176_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_176_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240307_BL6_Ku_175_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e4_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240308_BL6_Ku_65_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e1_het,HET,C57BL6,Y,Y,Both,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_56_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
