Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
240313_BL6_Ku_38_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240313_BL6_Ku_38_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240314_BL6_Ku_37_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_174_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_174_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_174_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_174_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_174_e10_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240319_BL6_Ku_187_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e2_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e3_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e4_het,HET,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240319_BL6_Ku_187_e8_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e1_het,HET,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e2_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240321_BL6_Ku_64_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e6_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240321_BL6_Ku_64_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240321_BL6_Ku_64_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240322_BL6_Ku_185_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240322_BL6_Ku_185_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240327_BL6_Ku_58_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240327_BL6_Ku_58_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_85_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240402_BL6_Ku_8_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e3_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,2
240402_BL6_Ku_8_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e6_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240402_BL6_Ku_8_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e2_het,HET,C57BL6,N,Y,Right,N,N,N,N,N,Y,N,N,N,3
240404_BL6_Ku_190_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e7_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240404_BL6_Ku_190_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240410_BL6_Ku_198_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240410_BL6_Ku_198_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_121_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_121_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240417_BL6_Ku_15_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,1
240417_BL6_Ku_15_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e6_het,HET,C57BL6,Y,N,Right,N,Y,N,N,N,N,N,N,N,1
240417_BL6_Ku_15_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240417_BL6_Ku_15_e9_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e1_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e4_het,HET,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e7_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240419_BL6_Ku_112_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240503_BL6_Ku_25_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_25_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_152_e1_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240503_BL6_Ku_152_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_152_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240503_BL6_Ku_152_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e1_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e2_het,HET,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240514_BL6_Ku_122_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_218_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_218_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240516_BL6_Ku_218_e3_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
240516_BL6_Ku_16_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240516_BL6_Ku_16_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240516_BL6_Ku_16_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240517_BL6_Ku_133_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240517_BL6_Ku_133_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240517_BL6_Ku_133_e3_het,HET,C57BL6,N,Y,Right,N,N,N,N,N,N,N,N,N,3
240517_BL6_Ku_133_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240517_BL6_Ku_133_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240523_BL6_Ku_143_e10_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_26_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e4_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_26_e9,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240524_BL6_Ku_24_e1_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_24_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_24_e3_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_24_e4_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_24_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240524_BL6_Ku_24_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e2_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240529_BL6_Ku_144_e3_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e4_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240529_BL6_Ku_144_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e7_het,HET,C57BL6,N,N,N,N,Y,N,N,N,N,N,N,N,3
240529_BL6_Ku_144_e8_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240529_BL6_Ku_144_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_145_e1_het,HET,C57BL6,N,Y,Both,N,Y,N,N,N,Y,N,N,N,2
240530_BL6_Ku_145_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_145_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_145_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_145_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_145_e6_het,HET,C57BL6,Y,N,Left,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_145_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e2_het,HET,C57BL6,Y,Y,Both,N,N,N,N,N,Y,N,N,N,3
240530_BL6_Ku_35_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e5_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e6_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e7_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_35_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240530_BL6_Ku_69_e1_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e2_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e3_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e4_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e5_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e6_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e7_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240530_BL6_Ku_69_e8_het,HET,C57BL6,N,N,N,N,N,N,N,N,N,Y,N,N,2
240530_BL6_Ku_69_e9_wt,WT,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240604_BL6_Ku_36_e1,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240604_BL6_Ku_36_e2,,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
240604_BL6_Ku_36_e3,,C57BL6,N,N,N,Y,Y,N,N,N,N,N,N,N,2
240604_BL6_Ku_36_e4,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240604_BL6_Ku_36_e5,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240604_BL6_Ku_36_e6,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240606_BL6_Ku_34_e1,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240606_BL6_Ku_34_e2,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_34_e3,,C57BL6,N,Y,Right,N,N,N,N,N,N,N,N,N,1
240606_BL6_Ku_34_e4,,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,1
240606_BL6_Ku_34_e5,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_34_e6,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_34_e7,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e1,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e2,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e3,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240606_BL6_Ku_160_e4,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,3
240606_BL6_Ku_160_e5,,C57BL6,Y,N,Right,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e6,,C57BL6,Y,Y,Both ,N,Y,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e7,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
240606_BL6_Ku_160_e8,,C57BL6,N,N,N,N,N,N,N,N,N,N,N,N,2
